num,index,date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
0,0,20160104,25200,25200,24100,24100,15346950,9.35,1.25,14.08,1.014066665,1.0207273,1.003090086,0.98226754,1.000720501,1.002283626,1.000294763,1.00059122,,,,,,,,,,,,,,,,,,,,,0,0.045643154,0,0,0
1,1,20160105,24040,24360,23720,24160,10800100,9.35,1.25,14.08,1.01509732,1.030704787,1.012278301,0.991927527,1.000419444,1.002215168,1.000242353,1.000455554,,,,,,,,,,,,,,,,,,,,,-0.002489627,0.008278146,-0.018211921,0.002489627,-0.296270594
2,2,20160106,24160,24160,23360,23500,18337600,9.35,1.25,14.08,1.009296016,1.035409317,1.016705214,0.997317133,1.000556042,1.002632979,1.00072556,1.000860912,,,,,,,,,,,,,,,,,,,,,0,0.028085106,-0.005957447,-0.027317881,0.697910205
3,3,20160107,23320,23660,23020,23260,14119400,9.35,1.25,14.08,0.996235837,1.024228299,1.005281312,0.98719869,1.0006379,1.002920485,1.00110393,1.001177713,,,,,,,,,,,,,,,,,,,,,-0.007659574,0.017196905,-0.010318143,-0.010212766,-0.230030102
4,4,20160108,23260,23720,23260,23420,12888150,9.35,1.25,14.08,1.000425055,1.02750382,1.009328377,0.992360221,0.999908884,1.002072813,1.000534883,1.000541725,23688,14298440,-0.011313745,-0.098632438,,,,,,,,,,,,,,,,,0,0.012809564,-0.006831768,0.006878762,-0.087202714
5,5,20160111,23120,23320,22920,23040,12063850,9.35,1.25,14.08,0.99010717,1.015231668,0.997941439,0.982494461,1.000318863,1.002352973,1.001085725,1.001046175,23476,13641820,-0.018572159,-0.115671516,,,,,,,,,,,,,,,,,-0.012809564,0.012152778,-0.005208333,-0.016225448,-0.063957977
6,6,20160112,22960,23320,22880,22920,10314150,9.35,1.25,14.08,0.988441416,1.008723573,0.992646196,0.978376496,1.000163961,1.002080824,1.001119193,1.001005488,23228,13544630,-0.013259859,-0.238506331,,,,,,,,,,,,,,,,,-0.003472222,0.017452007,-0.001745201,-0.005208333,-0.145036618
7,7,20160113,23060,23180,22960,22960,7165800,9.35,1.25,14.08,1.010499346,1.028342686,1.014319905,1.001019135,1.000282347,1.002043777,1.001382134,1.001193851,23120,11310270,-0.006920415,-0.366434223,,,,,,,,,,,,,,,,,0.006108202,0.009581882,0,0.001745201,-0.305245706
8,8,20160114,22620,22840,22620,22760,10451100,9.35,1.25,14.08,1.005270677,1.020047393,1.010148205,0.998074168,1.000136618,1.001689856,1.001265906,1.001014901,23020,10576610,-0.011294526,-0.011866751,,,,,,,,,,,,,,,,,-0.014808362,0.003514938,-0.006151142,-0.008710801,0.458469396
9,9,20160115,22800,23040,22480,22640,10473200,9.35,1.25,14.08,0.999481403,1.010026112,1.003426186,0.992305839,0.999863394,1.001267658,1.00111397,1.000795331,22864,10093620,-0.009797061,0.037605933,23276,12196030,-0.027324283,-0.141261542,,,,,,,,,,,,,0.001757469,0.017667845,-0.007067138,-0.005272408,0.00211461
10,10,20160118,21760,22660,21760,22520,16010700,9.35,1.25,14.08,1.004575942,1.015020496,1.011188759,1.001050776,0.999444399,1.000485518,1.000598037,1.000234722,22760,10882990,-0.010544815,0.471167391,23118,12262405,-0.02586729,0.305673724,,,,,,,,,,,,,-0.038869258,0.006216696,-0.03374778,-0.005300353,0.528730474
11,11,20160119,22560,23420,22560,23420,10362100,9.35,1.25,14.08,0.998159715,1.00975217,1.007545434,0.998723588,0.999790496,1.00057887,1.000894416,1.000496025,22860,10892580,0.024496938,-0.048701042,23044,12218605,0.016316612,-0.151940831,,,,,,,,,,,,,0.001776199,0,-0.036720751,0.039964476,-0.352801564
12,12,20160120,23200,23200,22640,22760,8352600,9.35,1.25,14.08,0.985931244,0.992439032,0.990733923,0.982738571,1.00074686,1.001424096,1.001952991,1.001522603,22820,11129940,-0.002629273,-0.249537733,22970,11220105,-0.00914236,-0.255568464,,,,,,,,,,,,,-0.009393681,0.019332162,-0.005272408,-0.028181042,-0.193927872
13,13,20160121,22660,23100,22500,22620,9517600,9.35,1.25,14.08,0.985311518,0.986953855,0.985657931,0.978053186,1.000664803,1.001339615,1.002006962,1.001540791,22792,10943240,-0.007546508,-0.13027586,22906,10759925,-0.012485812,-0.115458519,,,,,,,,,,,,,-0.004393673,0.021220159,-0.00530504,-0.006151142,0.139477528
14,14,20160122,22900,23360,22900,23360,7376400,9.35,1.25,14.08,0.995076164,0.993973513,0.993648188,0.986277826,1.000682874,1.001398614,1.002250934,1.001733662,22936,10323880,0.018486223,-0.285501188,22900,10208750,0.020087336,-0.27744337,,,,,,,,,,,,,0.012378426,0,-0.019691781,0.032714412,-0.224972682
15,15,20160125,23440,23520,23120,23240,7995650,9.35,1.25,14.08,1.011278791,1.007869276,1.009470078,1.002068912,0.999963588,1.000783499,1.001785918,1.001202704,23080,8720870,0.006932409,-0.083159134,22920,9801930,0.013961606,-0.184277994,,,,,,,,,,,,,0.003424658,0.012048193,-0.005163511,-0.005136986,0.083950165
16,16,20160126,23100,23140,22720,22740,7619950,9.35,1.25,14.08,1.008168078,1.002398726,1.005940619,0.998840522,1.000709755,1.001751186,1.002930439,1.002300499,22944,8172440,-0.008891213,-0.067604045,22902,9532510,-0.007073618,-0.200635509,,,,,,,,,,,,,-0.006024096,0.01759015,-0.000879507,-0.02151463,-0.04698805
17,17,20160127,22520,23500,22520,23500,13811850,9.35,1.25,14.08,1.001165368,0.995378,1.000813196,0.994020054,1.000564057,1.001618819,1.002979848,1.002300394,23092,9264290,0.017668457,0.490869781,22956,10197115,0.023697508,0.354486048,,,,,,,,,,,,,-0.009674582,0,-0.041702128,0.033421284,0.812590634
18,18,20160128,23280,23360,22780,22900,15795600,9.35,1.25,14.08,1.005513932,1.003684473,1.009733347,1.003511376,1.000090967,1.001122324,1.002623443,1.001895527,23148,10519890,-0.010713669,0.50149859,22970,10731565,-0.003047453,0.471882246,,,,,,,,,,,,,-0.009361702,0.020087336,-0.005240175,-0.025531915,0.143626668
